STATUS AS OF,Masked ID,MAN_INV_STRATEGY,MANDATE TYPE,IP_STATUS,FOREIGNEXCHL,RISK TOLERANCE,CLIENT INV HORIZON,LAST REVIEW ON
2025-05-25,A2IBHDVRR2FKSVWA,Balanced,Advisory,Complete: Signature OK,yes,D,5 years,2025-04-26
2025-05-25,A2IBHDVRR2FSVWA,Equity,Advisory Mandate,Complete: Signature OK,yes,D,10 years,2025-03-23
2025-05-25,A1AHDVRR2ASSAA,Balanced,Advisory,Complete: Signature OK,yes,D,5 years,2025-04-22
2025-05-25,AWKBHDVRR20ZTYA,None,Advisory Mandate,Complete: Signature OK,yes,D,6 years,2025-03-21
2025-05-25,AXBHDVRR2SUNKNA,Balanced,Advisory,Complete: Signature OK,yes,D,10 years,2025-02-01
2025-05-25,AYBHDVRR2SGSFLKA,Equity,Advisory Mandate,Complete: Signature OK,yes,D,5 years,2025-01-28
2025-05-25,BCTBHDVRR2BHWZA,None,Advisory,Complete: Signature OK,yes,D,6 years,2025-04-17
2025-05-25,A3FBHDVRR2SFTR4A,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,10 years,2025-03-14
2025-05-25,BANBHDVRR2PWWXA,Equity,Advisory,Complete: Signature OK,yes,D,5 years,2025-02-19
2025-05-25,BRLBHDVRR2SEZNA,None,Advisory Mandate,Complete: Signature OK,yes,D,6 years,2025-01-15
2025-05-25,BNBBHDVRR2LDSC8A,Balanced,Advisory,Complete: Signature OK,yes,D,10 years,2024-12-23
2025-05-25,AUJBHDVRR2CZTQUA,Equity,Advisory Mandate,Complete: Signature OK,yes,D,5 years,2024-11-29
2025-05-25,A3GBHDVRR258QNA,None,Advisory,Complete: Signature OK,yes,D,6 years,2024-10-17
2025-05-25,AZEHZDVRR2SRDHNA,Balanced,Advisory,Complete: Signature OK,yes,D,5 years,2024-09-22
2025-05-25,AABHDVRR2RZDNOMA,Equity,Advisory Mandate,Complete: Signature OK,yes,D,10 years,2024-08-18
2025-05-25,BAUBHDVRR2GEZGAA,None,Advisory,Complete: Signature OK,yes,D,6 years,2024-07-25
2025-05-25,ASMBHDVRR2SF38MA,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,5 years,2024-06-21
2025-05-25,AKWBHDVRR2MGLWQA,Equity,Advisory,Complete: Signature OK,yes,D,10 years,2024-05-17
2025-05-25,A2JBHDVRR2CEAPZA,None,Advisory Mandate,Complete: Signature OK,yes,D,6 years,2024-04-23
2025-05-25,BKBHDV89S7KXA,Balanced,Advisory,Complete: Signature OK,yes,D,5 years,2024-03-19
2025-05-25,A4UBHDVRR233XXA,Equity,Advisory Mandate,Complete: Signature OK,yes,D,10 years,2024-02-15
2025-05-25,AWSBHDVRR847HWA,None,Advisory,Complete: Signature OK,yes,D,6 years,2024-01-21
2025-05-25,A2ZBHDVRR2CCDNYA,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,5 years,2024-04-16
2025-05-25,A3FBHDVRR2GRFF6A,Equity,Advisory,Complete: Signature OK,yes,D,10 years,2024-03-12
2025-05-25,A4HBHDVRR2FEPBMA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2025-04-26
2025-05-25,A4NBHDVRR2S5PWXA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2025-03-21
2025-05-25,AUBHDVRR2HXDQA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2025-02-01
2025-05-25,A7BBHDVRR2HYHSEA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2025-01-28
2025-05-25,BKBHDVRR2CD38CA,Equity,Non Advised,Complete: Signature OK,yes,F,10 years,2024-12-19
2025-05-25,A24BHDVCDHVPMA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2024-11-26
2025-05-25,AWSBHDVRR2DRTYMA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2024-10-23
2025-05-25,A62BHDVRR2DDNCMA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2024-09-20
2025-05-25,B9BBHDVRR2F5KONA,Equity,Non Advised,Complete: Signature OK,yes,F,10 years,2024-08-16
2025-05-25,CABHDVRR2CGLAWA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2024-07-22
2025-05-25,DAEBHDVRR2BWMGA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2024-06-18
2025-05-25,FABHDVRR2CQSDAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2024-05-14
2025-05-25,GABHDVRR2CQPMA,Equity,Non Advised,Complete: Signature OK,yes,F,10 years,2024-04-10
2025-05-25,HABHDVRR2CRQAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2024-03-06
2025-05-25,IABHDVRR2CTRAA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2024-02-02
2025-05-25,JABHDVRR2CVAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2024-01-29
2025-05-25,KABHDVRR2CWAA,Equity,Non Advised,Complete: Signature OK,yes,F,10 years,2024-01-05
2025-05-25,LABHDVRR2CXAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2023-12-12
2025-05-25,MABHDVRR2CYAA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2023-11-18
2025-05-25,NABHDVRR2CZAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2023-10-14
2025-05-25,OABHDVRR2DAAA,Equity,Non Advised,Complete: Signature OK,yes,F,10 years,2023-09-20
2025-05-25,PABHDVRR2DBAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2023-08-16
2025-05-25,QABHDVRR2DCAA,Equity,Non Advised,Complete: Signature OK,yes,F,6 years,2023-07-23
2025-05-25,RABHDVRR2DDAA,Equity,Non Advised,Complete: Signature OK,yes,F,5 years,2023-06-19
2025-05-25,SABHDVRR2DEAA,Balanced,Advisory,Complete: Signature OK,yes,D,5 years,2025-03-01
2025-05-25,TABHDVRR2DFAA,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,6 years,2025-02-05
2025-05-25,UABHDVRR2DGAA,Balanced,Advisory,Complete: Signature OK,yes,D,10 years,2025-01-01
2025-05-25,VABHDVRR2DHAA,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,5 years,2024-12-07
2025-05-25,WABHDVRR2DIAA,Balanced,Advisory,Complete: Signature OK,yes,D,6 years,2024-11-13
2025-05-25,XABHDVRR2DJAA,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,10 years,2024-10-09
2025-05-25,YABHDVRR2DKAA,Balanced,Advisory,Complete: Signature OK,yes,D,5 years,2024-09-05
2025-05-25,ZABHDVRR2DLAA,Balanced,Advisory Mandate,Complete: Signature OK,yes,D,6 years,2024-08-01